zip,new_tenure,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall,P1,P2,Rank1,N1,N2,Rank2,Symbol,city,state
22043,420.7965,395.6279,13.42279,26022,49.34,36,61.44,77,10032,531272,1971,57.41,125418,110510,126,0.675774,0.102004,3,0.043326,0.038027,0.057648,VA,Falls Church,Virginia
22044,409.5208,460.75,15.49917,13530,51.25,37,54.63,89,5240,518083,1963,47.6,109248,86582,114,0.635701,0.739526,4,0.042165,0.044287,0.061149,VA,Falls Church,Virginia
22046,555.7917,477,16.13667,17133,49.81,38,75.41,70,6791,565506,1962,62.38,129488,111372,126,0.901639,0.823315,5,0.057226,0.045849,0.073327,VA,Falls Church,Virginia
22066,578.1518,444,10.68482,18324,49.51,44,77,55,5900,922458,1981,93.82,256965,194106,121,0.92714,0.601093,4,0.059528,0.042677,0.073245,VA,Great Falls,Virginia
22079,375.7225,414.7251,16.77863,33497,47.84,36,44.82,50,11513,467594,1990,68.75,118370,100404,106,0.500911,0.20765,3,0.038685,0.039863,0.055548,VA,Lorton,Virginia
22101,477.3618,471.3684,14.63632,30856,47.5,45,78.11,78,11206,857050,1968,82.4,223801,172986,130,0.814208,0.801457,5,0.04915,0.045308,0.066847,VA,McLean,Virginia
22102,525.5313,429.9688,12.37094,21942,47.33,40,63.98,92,9685,691317,1980,55.17,186497,133853,145,0.868852,0.3898,3,0.05411,0.041328,0.068088,VA,McLean,Virginia
22124,429.184,415.7358,6.843396,18495,48.38,42,76.22,54,6900,668897,1983,85.22,192019,160842,133,0.699454,0.214936,3,0.04419,0.03996,0.059578,VA,Oakton,Virginia
22125,189,396.75,17.155,355,45.31,48,69.12,106,181,292163,1979,58.11,96824,86342,144,0.055556,0.10929,1,0.01946,0.038135,0.042813,VA,Occoquan,Virginia
22134,248,405,26.12,5369,55.93,24,68.21,55,1429,407678,1993,12.79,78617,64167,69,0.139344,0.132969,1,0.025535,0.038928,0.046556,VA,Quantico,Virginia
22150,434.9414,427.1094,15.45813,28007,49.44,39,45.84,77,9413,411743,1977,58.81,113118,85683,103,0.71949,0.351548,3,0.044783,0.041053,0.060753,VA,Springfield,Virginia
22151,488.3393,488.8571,13.90071,17856,50.04,39,57.17,74,5913,438244,1965,80.1,123956,101658,110,0.836066,0.874317,5,0.050281,0.046989,0.068819,VA,Springfield,Virginia
22152,405.3839,446.7008,13.78992,28646,47.65,39,64.62,51,10372,437777,1973,81.52,133897,115527,122,0.613843,0.622951,4,0.041739,0.042937,0.059881,VA,Springfield,Virginia
